 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -310.125     -313.558     -312.248     -310.108     -308.475     -312.240     -313.744   
  -314.762     -313.858     -311.146     -311.599     -314.713     -309.679     -314.137   
  -315.244     -312.196     -316.492     -313.091     -315.159     -316.322     -310.882   
  -313.582     -317.542     -317.247     -314.571     -311.904     -316.769     -317.526   
  -319.151     -318.451     -315.074     -316.063     -319.870     -313.514     -317.818   
  -319.655     -316.683     -319.975     -317.555     -319.533     -321.074     -315.411   
  -318.070     -321.872     -321.369     -319.046     -316.720     -320.737     -322.683   
  -323.076     -322.979     -319.091     -320.538     -323.651     -317.924     -322.634   
  -324.365     -320.141     -325.079     -322.030     -323.656     -325.261     -319.128   
  -321.345     -326.688     -325.387     -322.817     -320.843     -324.860     -327.158   
  -327.892     -326.996     -322.367     -324.309     -327.422     -322.047     -326.757   
  -328.606     -323.571     -328.691     -325.800     -329.165     -329.031     -323.097   
  -325.180     -329.895     -330.097     -326.785     -325.505     -330.774     -330.081   
  -331.504     -331.301     -326.672     -328.277     -332.084     -327.114     -331.824   
  -332.911     -327.876     -332.659     -329.769     -333.575     -333.693     -328.164   
  -329.262     -333.709     -334.662     -331.260     -329.185     -335.185     -334.897   
  -335.095     -336.559     -330.977     -332.752     -335.460     -330.389     -336.794   
  -337.945     -332.027     -337.098     -334.244     -336.664     -337.070     -331.593   
  -333.636     -338.302     -338.626     -335.282     -334.001     -338.274     -338.119   
  -339.911     -339.830     -335.128     -336.774     -340.527     -335.611     -339.323   
  -341.439     -336.332     -341.156     -338.266     -341.731     -342.137     -336.661   
  -337.536     -342.765     -342.178     -339.757     -338.375     -342.935     -344.034   
  -344.152     -344.075     -339.251     -341.225     -343.957     -339.579     -344.545   
  -345.461     -341.148     -345.830     -342.716     -345.424     -345.161     -341.189   
  -342.757     -347.034     -346.953     -344.208     -343.597     -347.034     -346.211   
  -348.420     -348.002     -344.760     -345.700     -347.232     -345.206     -348.238   
  -349.389     -345.809     -350.423     -347.191     -349.259     -348.842     -346.410   
  -347.013     -352.032     -350.410     -348.683     -348.125     -350.463     -350.739   
  -353.641     -351.614     -348.505     -350.175     -353.147     -349.734     -351.513   
  -353.224     -349.709     -354.557     -351.666     -353.921     -354.756     -350.784   
  -351.095     -355.606     -355.226     -353.158     -351.806     -355.531     -355.960   
  -356.810     -356.836     -352.117     -354.650     -357.675     -353.010     -357.428   
  -358.222     -353.167     -358.813     -356.141     -358.449     -359.285     -354.214   
